"Gruppe";"KommuneNr";"KV2017 - Stemmeberettigede";"KV2017 - Afgivne stemmer";"KV2017 - Blanke stemmer";"KV2017 - Andre ugyldige stemmer";"KV2017 - Gyldige stemmer";"KV2017 - A";"KV2017 - B";"KV2017 - C";"KV2017 - F";"KV2017 - I";"KV2017 - J";"KV2017 - K";"KV2017 - M";"KV2017 - G";"KV2017 - N";"KV2017 - O";"KV2017 - H";"KV2017 - S";"KV2017 - V";"KV2017 - U";"KV2017 - Z";"KV2017 - Ø";"KV2017 - L";"KV2017 - Å";"KV2017 - R";"KV2017 - D";"KV2017 - P";"KV2017 - E";"KV2017 - Q";"KV2017 - Å1";"KV2017 - K2";"KV2017 - K1";"KV2017 - Æ";"KV2017 - W";"KV2017 - Y";"KV2017 - T"
"101043";"101";"493719";"305502";"4127";"1159";"300216";"82819";"26725";"16792";"24830";"11822";"626";"782";"50";"581";"1429";"15082";"115";"-";"23652";"219";"88";"55241";"112";"31553";"1219";"2874";"164";"908";"2060";"-";"-";"-";"190";"-";"49";"234"
"147008";"147";"84284";"60020";"574";"148";"59298";"9507";"5738";"21995";"3660";"2161";"-";"80";"78";"156";"-";"1269";"-";"-";"3748";"-";"-";"7168";"89";"3267";"-";"326";"-";"56";"-";"-";"-";"-";"-";"-";"-";"-"
"151005";"151";"37567";"26358";"317";"92";"25949";"15209";"699";"1181";"788";"360";"-";"-";"-";"-";"-";"2444";"-";"-";"2739";"-";"-";"1527";"-";"533";"-";"469";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153002";"153";"27814";"17257";"224";"112";"16921";"8952";"537";"377";"889";"240";"-";"-";"-";"-";"161";"2389";"-";"-";"1689";"-";"-";"980";"22";"519";"-";"125";"-";"-";"-";"-";"-";"-";"-";"-";"-";"41"
"155004";"155";"10916";"8502";"75";"24";"8403";"1276";"278";"1360";"144";"187";"-";"-";"-";"38";"-";"880";"-";"-";"1732";"-";"-";"-";"-";"273";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2235"
"157010";"157";"56993";"40829";"294";"105";"40430";"4351";"3121";"23506";"1231";"757";"-";"86";"-";"-";"-";"812";"-";"-";"2649";"-";"-";"2147";"-";"1180";"-";"590";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159007";"159";"53133";"34897";"487";"103";"34307";"12361";"2353";"2494";"3429";"839";"-";"-";"-";"-";"-";"2872";"-";"-";"5168";"-";"-";"3564";"-";"928";"-";"299";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"161006";"161";"17804";"11539";"133";"57";"11349";"4030";"332";"427";"647";"86";"-";"-";"-";"-";"-";"1389";"-";"-";"3438";"-";"-";"601";"-";"215";"-";"159";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"163003";"163";"21959";"15084";"154";"73";"14857";"8497";"396";"1592";"987";"114";"-";"-";"-";"-";"-";"1070";"121";"-";"728";"-";"-";"1130";"-";"222";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"165004";"165";"21360";"14113";"154";"75";"13884";"5819";"628";"964";"1213";"260";"-";"-";"-";"-";"56";"1805";"-";"-";"842";"-";"-";"1588";"-";"636";"-";"-";"23";"-";"-";"-";"-";"-";"50";"-";"-";"-"
"167008";"167";"41047";"27046";"402";"53";"26591";"8992";"564";"2085";"2806";"279";"-";"-";"-";"27";"800";"3671";"2603";"-";"2164";"-";"-";"1568";"-";"648";"-";"336";"25";"23";"-";"-";"-";"-";"-";"-";"-";"-"
"169012";"169";"38842";"25551";"255";"150";"25146";"6114";"707";"11979";"870";"197";"-";"-";"-";"-";"-";"1936";"-";"-";"787";"-";"-";"1153";"824";"579";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"173005";"173";"42547";"31008";"395";"61";"30552";"5723";"2604";"11192";"2406";"907";"-";"-";"-";"-";"-";"1059";"-";"-";"3412";"-";"-";"1426";"-";"1067";"-";"536";"-";"25";"195";"-";"-";"-";"-";"-";"-";"-"
"175005";"175";"30530";"19834";"253";"91";"19490";"10108";"433";"2311";"1279";"279";"-";"-";"-";"-";"-";"1689";"-";"-";"1024";"-";"-";"1444";"-";"680";"-";"227";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"183005";"183";"17447";"10405";"107";"71";"10227";"5267";"231";"405";"939";"138";"-";"-";"-";"-";"-";"1151";"-";"-";"1406";"-";"-";"690";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"185005";"185";"33219";"22339";"258";"68";"22013";"8949";"836";"1573";"1233";"374";"-";"-";"-";"-";"-";"3565";"-";"-";"2953";"-";"-";"1407";"-";"497";"-";"626";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"187003";"187";"12025";"8553";"58";"37";"8458";"2147";"346";"4319";"148";"133";"-";"-";"-";"-";"-";"771";"-";"-";"301";"-";"-";"293";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"190002";"190";"30727";"23467";"218";"75";"23174";"9280";"1556";"3213";"576";"1091";"-";"-";"-";"-";"188";"924";"146";"-";"4172";"-";"-";"1370";"-";"658";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"201001";"201";"18913";"15339";"218";"78";"15043";"3017";"915";"3144";"1298";"367";"-";"-";"70";"-";"-";"539";"112";"-";"2721";"-";"-";"641";"-";"325";"703";"382";"-";"809";"-";"-";"-";"-";"-";"-";"-";"-"
"210005";"210";"31421";"22990";"207";"59";"22724";"7173";"2272";"1934";"1235";"1401";"-";"-";"-";"-";"-";"1595";"679";"-";"4935";"-";"-";"634";"-";"553";"-";"313";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"217005";"217";"49574";"35686";"375";"146";"35165";"8587";"1742";"11527";"1245";"507";"348";"-";"-";"-";"-";"3241";"-";"-";"1396";"-";"-";"2735";"1523";"964";"-";"816";"19";"-";"-";"-";"-";"-";"-";"-";"-";"515"
"219012";"219";"38807";"28808";"344";"79";"28385";"8158";"1608";"1578";"1856";"751";"-";"191";"-";"-";"-";"1300";"-";"-";"9624";"-";"-";"1670";"-";"633";"-";"1016";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"223003";"223";"19495";"14947";"118";"31";"14798";"1546";"1004";"6170";"422";"956";"-";"90";"-";"-";"79";"682";"-";"-";"3227";"-";"-";"-";"-";"304";"63";"255";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"230001";"230";"42452";"31811";"278";"95";"31438";"4243";"2476";"5298";"792";"1692";"-";"-";"55";"-";"-";"962";"-";"-";"9611";"-";"-";"1070";"3650";"828";"-";"761";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"240001";"240";"32368";"24520";"328";"118";"24074";"6234";"2802";"2784";"1632";"963";"-";"-";"-";"-";"-";"2503";"-";"-";"6613";"-";"-";"-";"-";"543";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"250001";"250";"35544";"25789";"342";"99";"25348";"8838";"715";"1384";"848";"337";"-";"-";"-";"-";"-";"2672";"-";"-";"8210";"-";"-";"994";"-";"348";"-";"290";"-";"712";"-";"-";"-";"-";"-";"-";"-";"-"
"253005";"253";"38610";"27534";"274";"67";"27193";"7861";"409";"1400";"671";"886";"-";"76";"-";"-";"94";"3274";"-";"-";"9951";"-";"-";"1102";"115";"289";"-";"359";"-";"-";"-";"-";"-";"-";"-";"-";"-";"706"
"259005";"259";"46967";"34120";"402";"99";"33619";"11116";"467";"4952";"3447";"962";"-";"-";"-";"-";"-";"2870";"-";"-";"6844";"-";"-";"1545";"118";"274";"-";"572";"-";"452";"-";"-";"-";"-";"-";"-";"-";"-"
"260005";"260";"25171";"17895";"169";"52";"17674";"6854";"397";"402";"1381";"225";"-";"-";"51";"282";"-";"1983";"-";"-";"4392";"-";"-";"926";"-";"498";"-";"283";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265018";"265";"68056";"50447";"542";"145";"49760";"22771";"2023";"2722";"2421";"1229";"-";"79";"-";"-";"-";"4601";"-";"-";"9189";"-";"-";"3560";"-";"1165";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"269001";"269";"17022";"12784";"116";"44";"12624";"2350";"471";"820";"626";"873";"-";"-";"-";"463";"-";"1113";"-";"-";"4581";"-";"-";"-";"871";"211";"-";"245";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270003";"270";"33028";"24292";"308";"90";"23894";"4356";"380";"1608";"766";"296";"-";"-";"-";"5121";"-";"2139";"-";"-";"6199";"463";"-";"1248";"-";"782";"-";"504";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32"
"306006";"306";"27367";"19941";"231";"61";"19649";"8541";"766";"486";"625";"132";"-";"-";"-";"-";"-";"1910";"-";"-";"4827";"-";"-";"963";"705";"432";"-";"262";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316011";"316";"55497";"40915";"542";"149";"40224";"11561";"3888";"1555";"1148";"2456";"-";"-";"-";"-";"-";"5412";"-";"-";"8101";"-";"-";"2212";"3155";"575";"-";"-";"-";"59";"-";"-";"-";"-";"-";"-";"60";"42"
"320002";"320";"28698";"20139";"298";"68";"19773";"5781";"454";"708";"1037";"869";"-";"-";"-";"-";"-";"3129";"-";"-";"4940";"-";"-";"1123";"1732";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326009";"326";"39018";"27276";"326";"155";"26795";"6835";"1065";"591";"1256";"483";"-";"-";"363";"-";"-";"4329";"33";"-";"9461";"-";"-";"1481";"-";"362";"-";"504";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-"
"329014";"329";"26919";"18927";"276";"53";"18598";"4611";"866";"1977";"975";"497";"-";"-";"-";"-";"-";"3035";"-";"-";"4951";"-";"-";"998";"-";"418";"-";"270";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330001";"330";"63058";"43894";"653";"101";"43140";"14913";"1231";"961";"2581";"1184";"-";"73";"-";"213";"-";"5861";"77";"-";"12552";"-";"-";"1790";"-";"618";"-";"1067";"-";"19";"-";"-";"-";"-";"-";"-";"-";"-"
"336002";"336";"18244";"13270";"184";"63";"13023";"3560";"767";"1195";"341";"335";"-";"-";"-";"-";"1619";"1563";"-";"-";"2535";"-";"-";"808";"235";"-";"-";"-";"-";"-";"-";"65";"-";"-";"-";"-";"-";"-"
"340006";"340";"23193";"16757";"255";"45";"16457";"4920";"474";"4059";"835";"351";"13";"41";"-";"353";"9";"1849";"56";"-";"1615";"-";"-";"751";"-";"737";"-";"394";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
