"Gruppe";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2017 - Stemmeberettigede";"KV2017 - Afgivne stemmer";"KV2017 - Blanke stemmer";"KV2017 - Andre ugyldige stemmer";"KV2017 - Gyldige stemmer";"KV2017 - A";"KV2017 - B";"KV2017 - C";"KV2017 - F";"KV2017 - I";"KV2017 - J";"KV2017 - K";"KV2017 - M";"KV2017 - G";"KV2017 - N";"KV2017 - O";"KV2017 - H";"KV2017 - S";"KV2017 - V";"KV2017 - U";"KV2017 - Z";"KV2017 - Ø";"KV2017 - L";"KV2017 - Å";"KV2017 - R";"KV2017 - D";"KV2017 - P";"KV2017 - E";"KV2017 - Q";"KV2017 - Å1";"KV2017 - K2";"KV2017 - K1";"KV2017 - Æ";"KV2017 - W";"KV2017 - Y";"KV2017 - T"
"101005";"1";"1";"1";"64167";"42277";"487";"111";"41679";"11823";"4224";"3198";"3020";"2042";"82";"143";"1";"63";"98";"1848";"12";"-";"4257";"29";"10";"5995";"14";"3910";"106";"456";"15";"64";"220";"-";"-";"-";"13";"-";"3";"33"
"101007";"2";"1";"1";"56435";"33403";"440";"151";"32812";"8624";"3134";"1973";"3135";"1384";"66";"60";"2";"60";"133";"1791";"6";"-";"3192";"25";"1";"5231";"14";"3136";"94";"386";"23";"99";"182";"-";"-";"-";"25";"-";"17";"19"
"101013";"3";"1";"1";"48767";"30006";"316";"90";"29600";"7519";"2947";"2422";"2241";"1540";"50";"48";"1";"45";"49";"846";"7";"-";"3067";"16";"5";"4915";"8";"3041";"89";"262";"9";"256";"173";"-";"-";"-";"13";"-";"1";"30"
"101016";"4";"1";"1";"47248";"28524";"442";"124";"27958";"7954";"2346";"1578";"2302";"1134";"57";"77";"1";"75";"88";"1863";"11";"-";"2326";"31";"4";"4575";"12";"2757";"82";"296";"21";"113";"201";"-";"-";"-";"28";"-";"6";"20"
"101025";"5";"1";"1";"66399";"43068";"488";"150";"42430";"9723";"4022";"1300";"4005";"1202";"94";"69";"2";"78";"214";"1183";"15";"-";"1857";"25";"26";"11164";"10";"6191";"304";"217";"14";"102";"543";"-";"-";"-";"32";"-";"0";"38"
"101028";"6";"1";"1";"45656";"25167";"400";"97";"24670";"7089";"1719";"967";"1890";"744";"71";"97";"2";"55";"189";"1428";"7";"-";"1391";"24";"20";"5382";"5";"2802";"169";"247";"17";"67";"247";"-";"-";"-";"18";"-";"5";"18"
"101041";"7";"1";"1";"65882";"41172";"592";"197";"40383";"13314";"2912";"2397";"3387";"1245";"85";"164";"6";"79";"294";"3195";"17";"-";"3023";"27";"12";"6543";"24";"2761";"148";"432";"28";"77";"137";"-";"-";"-";"33";"-";"7";"36"
"101043";"8";"1";"1";"44166";"26622";"473";"133";"26016";"8089";"2067";"1347";"2063";"1038";"49";"74";"30";"48";"177";"1768";"15";"-";"2220";"17";"2";"4191";"9";"2264";"77";"275";"17";"42";"103";"-";"-";"-";"12";"-";"7";"15"
"101050";"9";"1";"1";"54999";"35263";"489";"106";"34668";"8684";"3354";"1610";"2787";"1493";"72";"50";"5";"78";"187";"1160";"25";"-";"2319";"25";"8";"7245";"16";"4691";"150";"303";"20";"88";"254";"-";"-";"-";"16";"-";"3";"25"
"147004";"10";"1";"1";"42848";"31335";"276";"74";"30985";"4822";"3417";"11252";"1988";"1091";"-";"28";"51";"70";"-";"495";"-";"-";"1875";"-";"-";"3738";"34";"1955";"-";"141";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-"
"147008";"11";"1";"1";"41436";"28685";"298";"74";"28313";"4685";"2321";"10743";"1672";"1070";"-";"52";"27";"86";"-";"774";"-";"-";"1873";"-";"-";"3430";"55";"1312";"-";"185";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-"
"151005";"20";"2";"1";"55371";"37897";"450";"149";"37298";"19239";"1031";"1608";"1435";"446";"-";"-";"-";"-";"-";"3833";"-";"-";"6177";"-";"-";"2128";"-";"748";"-";"628";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157010";"13";"2";"1";"56993";"40829";"294";"105";"40430";"4351";"3121";"23506";"1231";"757";"-";"86";"-";"-";"-";"812";"-";"-";"2649";"-";"-";"2147";"-";"1180";"-";"590";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159007";"15";"2";"1";"53133";"34897";"487";"103";"34307";"12361";"2353";"2494";"3429";"839";"-";"-";"-";"-";"-";"2872";"-";"-";"5168";"-";"-";"3564";"-";"928";"-";"299";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"165004";"19";"2";"1";"60202";"39664";"409";"225";"39030";"11933";"1335";"12943";"2083";"457";"-";"-";"-";"-";"56";"3741";"-";"-";"1629";"-";"-";"2741";"824";"1215";"-";"-";"23";"-";"-";"-";"-";"-";"50";"-";"-";"-"
"167008";"17";"2";"1";"41047";"27046";"402";"53";"26591";"8992";"564";"2085";"2806";"279";"-";"-";"-";"27";"800";"3671";"2603";"-";"2164";"-";"-";"1568";"-";"648";"-";"336";"25";"23";"-";"-";"-";"-";"-";"-";"-";"-"
"173005";"14";"2";"1";"42547";"31008";"395";"61";"30552";"5723";"2604";"11192";"2406";"907";"-";"-";"-";"-";"-";"1059";"-";"-";"3412";"-";"-";"1426";"-";"1067";"-";"536";"-";"25";"195";"-";"-";"-";"-";"-";"-";"-"
"175005";"16";"2";"1";"52489";"34918";"407";"164";"34347";"18605";"829";"3903";"2266";"393";"-";"-";"-";"-";"-";"2759";"121";"-";"1752";"-";"-";"2574";"-";"902";"-";"227";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"185005";"12";"1";"1";"44135";"30841";"333";"92";"30416";"10225";"1114";"2933";"1377";"561";"-";"-";"-";"38";"-";"4445";"-";"-";"4685";"-";"-";"1407";"-";"770";"-";"626";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2235"
"187003";"18";"2";"1";"57286";"36215";"389";"220";"35606";"16366";"1114";"5101";"1976";"511";"-";"-";"-";"-";"161";"4311";"-";"-";"3396";"-";"-";"1963";"22";"519";"-";"125";"-";"-";"-";"-";"-";"-";"-";"-";"-";"41"
"210005";"22";"3";"1";"50916";"37937";"325";"90";"37522";"8719";"3276";"8104";"1657";"2357";"-";"90";"-";"-";"79";"2277";"679";"-";"8162";"-";"-";"634";"-";"857";"63";"568";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"217005";"21";"3";"1";"49574";"35686";"375";"146";"35165";"8587";"1742";"11527";"1245";"507";"348";"-";"-";"-";"-";"3241";"-";"-";"1396";"-";"-";"2735";"1523";"964";"-";"816";"19";"-";"-";"-";"-";"-";"-";"-";"-";"515"
