Title,Date
"The Office (U.S.): Sæson 5: Crime Aid","01/01/2022"
"The Office (U.S.): Sæson 5: Baby Shower","01/01/2022"
"2. verdenskrig i farver: Vejen til sejr: Sæson 1: Slaget ved Kursk","30/12/2021"
"2. verdenskrig i farver: Vejen til sejr: Sæson 1: Invasionen i Nordafrika","29/12/2021"
"2. verdenskrig i farver: Vejen til sejr: Sæson 1: Slaget på Atlanterhavet","27/12/2021"
"Don't Look Up","26/12/2021"
"2. verdenskrig i farver: Vejen til sejr: Sæson 1: Dunkirk","23/12/2021"
"Heat","23/12/2021"
"Parks and Recreation: Sæson 2: Leslie's House","22/12/2021"
"Animal: Sæson 1: Pungdyr","21/12/2021"
"Animal: Sæson 1: Hunde","21/12/2021"
"Animal: Sæson 1: Store katte","21/12/2021"
"Donnie Brasco","20/12/2021"
"14 bjergtoppe: Intet er umuligt","20/12/2021"
"The Playbook: Sæson 1: José Mourinho: En træners regler for livet","19/12/2021"
"The Playbook: Sæson 1: Jill Ellis","19/12/2021"
"The Playbook: Sæson 1: Doc Rivers","19/12/2021"
"Operation Varsity Blues – Bestikkelse på USA's eliteuniversiteter","19/12/2021"
"Murder Mystery","05/12/2021"
"Parks and Recreation: Sæson 2: The Set-Up","14/11/2021"
"Parks and Recreation: Sæson 2: Christmas Scandal","14/11/2021"
"Parks and Recreation: Sæson 2: Tom's Divorce","14/11/2021"
"Sex Education: Sæson 3: Episode 8","13/11/2021"
"Sex Education: Sæson 3: Episode 7","13/11/2021"
"Sex Education: Sæson 3: Episode 6","13/11/2021"
"Sex Education: Sæson 3: Episode 5","13/11/2021"
"Sex Education: Sæson 3: Episode 4","13/11/2021"
"Sex Education: Sæson 3: Episode 3","09/11/2021"
"Sex Education: Sæson 3: Episode 2","08/11/2021"
"Sex Education: Sæson 3: Episode 1","07/11/2021"
"Sex Education: Sæson 2: Episode 8","05/11/2021"
"Sex Education: Sæson 2: Episode 7","05/11/2021"
"Sex Education: Sæson 2: Episode 6","05/11/2021"
"Sex Education: Sæson 2: Episode 5","28/10/2021"
"Sex Education: Sæson 2: Episode 4","28/10/2021"
"Sex Education: Sæson 2: Episode 3","26/10/2021"
"Sex Education: Sæson 2: Episode 2","26/10/2021"
"Saving Private Ryan","26/10/2021"
"Zero Dark Thirty","23/10/2021"
"Prisoners","19/10/2021"
"Sex Education: Sæson 2: Episode 1","19/10/2021"
"Sex Education: Sæson 1: Episode 8","19/10/2021"
"Sex Education: Sæson 1: Episode 7","19/10/2021"
"Sex Education: Sæson 1: Episode 6","19/10/2021"
"Sex Education: Sæson 1: Episode 5","17/10/2021"
"Sex Education: Sæson 1: Episode 4","17/10/2021"
"Sex Education: Sæson 1: Episode 3","16/10/2021"
"Sex Education: Sæson 1: Episode 2","14/10/2021"
"Sex Education: Sæson 1: Episode 1","14/10/2021"
"Parks and Recreation: Sæson 2: Hunting Trip","12/10/2021"
"Parks and Recreation: Sæson 2: The Camel","12/10/2021"
"Squid Game: Sæson 1: En heldig dag","11/10/2021"
"Squid Game: Sæson 1: Stråmand","11/10/2021"
"Terminalen","11/10/2021"
"Squid Game: Sæson 1: VIP'er","09/10/2021"
"Squid Game: Sæson 1: Gganbu","08/10/2021"
"Squid Game: Sæson 1: En retfærdig verden","08/10/2021"
"Squid Game: Sæson 1: Vær trofast mod holdet","08/10/2021"
"Squid Game: Sæson 1: Manden med paraplyen","08/10/2021"
"Squid Game: Sæson 1: Helvede","08/10/2021"
"Squid Game: Sæson 1: Rødt lys stop","08/10/2021"
"Kastanjemanden: Sæson 1: Episode 6","07/10/2021"
"Kastanjemanden: Sæson 1: Episode 5","06/10/2021"
"Kastanjemanden: Sæson 1: Episode 4","06/10/2021"
"Kastanjemanden: Sæson 1: Episode 3","05/10/2021"
"Kastanjemanden: Sæson 1: Episode 2","04/10/2021"
"Kastanjemanden: Sæson 1: Episode 1","04/10/2021"
"The Guilty","03/10/2021"
"Parks and Recreation: Sæson 2: Ron and Tammy","18/09/2021"
